store_id,product_id,price,unit_price,best_price_30,anchor_price,special_price
S23,261210,16.79,16.79,15.74,17.31,
S23,261211,16.79,16.79,16.79,17.84,
S23,261403,45.99,45.99,45.99,45.99,
S23,261404,47.99,47.99,47.99,47.99,
S23,261405,46.99,46.99,46.99,46.99,
S23,261406,47.99,47.99,47.99,47.99,
S23,262615,34.99,34.99,34.99,34.99,
S23,262941,43.74,43.74,43.74,43.74,
S23,270715,34.99,34.99,34.99,34.99,
S23,51046,24.36,24.36,24.36,23.74,
S23,86799,19.36,19.36,19.36,19.36,
S23,221521,18.74,18.74,18.74,18.74,
S23,246747,6.81,6.81,6.81,6.81,
S23,264273,28.86,28.86,15.74,15.74,
S23,265099,16.79,16.79,16.79,16.79,
S23,265098,22.56,22.56,22.56,22.56,
S23,265259,10.49,10.49,10.49,10.49,
S23,265842,23.61,23.61,17.84,15.21,
S23,271280,7.86,7.86,7.86,9.44,
S23,51044,12.59,12.59,12.59,12.59,
S23,51045,16.79,16.79,12.06,9.96,
S23,240151,26.24,26.24,26.24,26.24,
S23,240152,26.24,26.24,26.24,26.24,
S23,240155,16.26,16.26,11.54,9.96,
S23,240156,9.96,9.96,9.96,9.96,
S23,245070,16.79,16.79,12.06,9.96,
S23,245071,12.06,12.06,12.06,9.96,
S23,245073,22.04,22.04,22.04,22.04,
S23,254623,8.91,8.91,8.91,8.91,
S23,261227,19.94,19.94,18.36,16.26,
S23,261794,27.81,27.81,27.29,33.59,
S23,263560,28.34,28.34,23.61,23.61,
S23,263945,20.99,20.99,20.99,20.99,
S23,264215,23.61,23.61,23.61,23.61,
S23,269152,22.04,22.04,22.04,22.04,
S23,271758,17.84,17.84,17.84,,
S23,196668,51.24,51.24,51.24,51.24,
S23,196747,46.24,46.24,46.24,46.24,
S23,207435,62.49,62.49,62.49,62.49,
S23,223137,48.74,48.74,48.74,48.74,
S23,232627,48.74,48.74,48.74,48.74,
S23,232629,49.99,49.99,49.99,49.99,
S23,232635,18.74,18.74,18.74,18.74,
S23,235477,46.24,46.24,46.24,46.24,
S23,248413,49.99,49.99,49.99,49.99,
S23,269753,58.74,58.74,58.74,58.74,
S23,269837,41.24,41.24,41.24,41.24,
S23,228081,4.24,4.24,4.24,4.24,
S23,243939,44.99,9.00,44.99,44.99,
S23,250426,4.24,5.30,4.24,4.24,
S23,216418,23.74,23.74,23.74,23.74,
S23,228662,3.74,3.74,3.74,3.74,
S23,231238,14.61,14.61,14.61,14.61,
S23,232082,4.74,4.74,4.74,4.74,
S23,238387,5.49,5.49,5.49,5.49,
S23,240590,25.74,34.32,25.74,25.74,
S23,242720,8.11,8.11,8.11,8.11,
S23,242721,8.36,8.36,8.36,8.36,
